Head,Head-Tail Bonding,Lipid Type,Category,Main Class,Sub Class,Class Level 4,Nota
1-O-cerotoyl-Cer,Amida y Ester con 1-O-FA,cerotoyl-Cer(d,Sphingolipids [SP],Ceramides [SP02],Acylceramides [SP0204],N/A,https://www.lipidmaps.org/databases/lmsd/LMSP02040008
CerP,Amida y Ester con P,CerP(d,Sphingolipids [SP],Ceramides [SP02],Ceramide 1-phosphates [SP0205],N/A,https://www.lipidmaps.org/databases/lmsd/LMSP02050001
NA,NA,CIP(d,N/A,N/A,N/A,N/A,NA
CL,Ester,CL(,Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],Oxidized Cardiolipins [GP2003],N/A,
CL,Ester,CL(a-,Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],Oxidized Cardiolipins [GP2003],N/A,
CL,Ester,CL(i-,Glycerophospholipids [GP],Oxidized glycerophospholipids [GP20],Oxidized Cardiolipins [GP2003],N/A,
CoA,Tioester,CoA(,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl CoAs [FA0705],N/A,https://www.lipidmaps.org/lmsd_search/10705
cPA,Ester,CPA(,Glycerophospholipids [GP],Cyclic glycerophosphatidic acids [GP25],Monoacyl cyclic glycerophosphatidic acids [GP2501],N/A,Cyclic PA; https://www.lipidmaps.org/databases/lmsd/LMGP00000057
Glucidos,Ester,DAT(,Saccharolipids [SL],Acyltrehaloses [SL03],N/A,N/A,https://www.lipidmaps.org/databases/lmsd/LMSL03000002
DG,Ester,DG(,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301],N/A,
DG,Ester,DG(,Glycerolipids [GL],Triradylglycerols [GL03],Diacylglycerols [GL0201],N/A,
DG,Ester,DG(,Glycerolipids [GL],Diradylglycerols [GL02],Triacylglycerols [GL0301],N/A,
DG,Ester,DG(,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201],N/A,
DG,Ester,DG(a-,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301],N/A,
DG,Ester,DG(a-,Glycerolipids [GL],Triradylglycerols [GL03],Diacylglycerols [GL0201],N/A,
DG,Ester,DG(a-,Glycerolipids [GL],Diradylglycerols [GL02],Triacylglycerols [GL0301],N/A,
DG,Ester,DG(a-,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201],N/A,
DG,Ester,DG(i-,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301],N/A,
DG,Ester,DG(i-,Glycerolipids [GL],Triradylglycerols [GL03],Diacylglycerols [GL0201],N/A,
DG,Ester,DG(i-,Glycerolipids [GL],Diradylglycerols [GL02],Triacylglycerols [GL0301],N/A,
DG,Ester,DG(i-,Glycerolipids [GL],Diradylglycerols [GL02],Diacylglycerols [GL0201],N/A,
DGCC,Ester,DGCC(,Glycerolipids [GL],Betaine diradylglycerols [GL07],Betaine diacylglycerols [GL0701],N/A,https://www.lipidmaps.org/databases/lmsd/LMGL07010011
DGDG,Ester,DGDG(,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldiacylglycerols [GL0501],N/A,https://www.lipidmaps.org/databases/lmsd/LMGL0501AD00
DGTA,Ester,DGTA(,Glycerolipids [GL],Betaine diradylglycerols [GL07],Betaine diacylglycerols [GL0701],N/A,https://www.lipidmaps.org/databases/lmsd/LMGL07010009
DGTS,Ester,DGTS(,Glycerolipids [GL],Betaine diradylglycerols [GL07],Betaine diacylglycerols [GL0701],N/A,https://www.lipidmaps.org/databases/lmsd/LMGL07010001
NA,NA,DHAP(,N/A,N/A,N/A,N/A,NA
1-O-eicosanoyl-Cer,Amida y Ester con 1-O-FA,eicosanoyl-Cer(d,Sphingolipids [SP],Ceramides [SP02],Acylceramides [SP0204],N/A,https://www.lipidmaps.org/databases/lmsd/LMSP02040005
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Fatty ethers [FA10],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Eicosanoids [FA03],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Other Docosanoids [FA0400],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Oxo fatty acids [FA0106],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Hydroxy/hydroperoxyeicosatrienoic acids [FA0305],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],"Octadeca-1,2-dioxolanes [FA0205]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],Phytofurans [FA0204],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Octadecanoids [FA02],"Docosa-1,2-dioxolanes [FA0406]",Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Hydroxy/hydroperoxyeicosatetraenoic acids [FA0306],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Unsaturated fatty acids [FA0103],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Lipoxins [FA0304],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Clavulones [FA0312],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Jasmonic acids [FA0202],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Other Octadecanoids [FA0200],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Epoxyeicosatrienoic acids [FA0308],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Resolvin Es [FA0314],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Thromboxanes [FA0303],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Epoxy fatty acids [FA0107],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Carbocyclic fatty acids [FA0114],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Methoxy fatty acids [FA0108],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Dicarboxylic acids [FA0117],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Prostaglandins [FA0301],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Branched fatty acids [FA0102],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Phytoprostanes [FA0203],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Lactones [FA0704],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Leukotrienes [FA0302],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Hepoxilins [FA0309],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Heterocyclic fatty acids [FA0115],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Straight chain fatty acids [FA0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Mycolic acids [FA0116],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Neuroprostanes [FA0401],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Cholesterol and derivatives [ST0101],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Hydroxy/hydroperoxyeicosapentaenoic acids [FA0307],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Levuglandins [FA0310],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Protectins [FA0404],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Isoprostanes [FA0311],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],12-oxophytodienoic acid metabolites [FA0201],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Neurofurans [FA0402],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Hydroperoxy fatty acids [FA0104],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Isofurans [FA0313],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Short fatty esters [FA0710],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Hydroxy fatty acids [FA0105],Acyclic diterpenoids [PR010401],
FA,NA,FA(,Sterol lipids [ST],Docosanoids [FA04],Other Eicosanoids [FA0300],Acyclic diterpenoids [PR010401],
